speed_main,flow_main,week,flow_mean_400,speed_mean_400,flow_mean_406,speed_mean_406,flow_mean_412,speed_mean_412,flow_mean_427,speed_mean_427,flow_mean_432,speed_mean_432,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,timeframe6,timeframe7,timeframe8,timeframe9
110.78,1782,2,2053,116.24,2020,113.93,2056,113.39,2030,111.05,2561,107.94,0,0,0,0,0,0,0,0,0,1,1,0,0,0
109.48,1929,4,2095,115.36,2046,110.48,1801,110.03,1776,102.59,2558,103.04,0,0,0,0,0,0,0,0,0,1,1,0,0,0
114.92,1922,5,2032,116.14,2042,111.59,1990,110.05,1937,108.78,2510,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0
114.88,2102,6,2026,108.89,1901,114.33,2108,109.96,1725,110.05,2344,109.54,0,0,0,0,0,0,0,0,0,1,1,0,0,0
112.62,2033,8,2105,112.98,1896,114.48,2032,112.87,2092,111.85,2575,108.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0
115.03,2117,10,2177,113.1,2144,114.11,2172,112.88,2119,107.06,2647,109.45,0,0,0,0,0,0,0,0,0,1,1,0,0,0
111.28,2057,11,2105,110.79,2140,111.79,2152,111.91,2133,110.33,2613,107.67,0,0,0,0,0,0,0,0,0,1,1,0,0,0
114.28,2159,12,1982,106.26,2023,111.95,1865,112.67,2173,111.32,2714,111.76,0,0,0,0,0,0,0,0,0,1,1,0,0,0
118.1,2278,22,2423,116.94,2506,104.01,2472,90.89,2434,107.66,3024,106.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0
115.39,2298,24,2206,118.36,2326,116.93,2348,113.32,1923,112.97,2553,109.61,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113.93,1380,32,1233,115.59,1240,114.21,1368,115.17,1346,120.34,1616,113.32,0,0,0,0,0,0,0,0,0,1,1,0,0,0
114.95,1355,33,1454,116.13,1448,114.99,1497,114.63,1473,115.4,1813,112.09,0,0,0,0,0,0,0,0,0,1,1,0,0,0
110.79,1748,35,1901,117.36,1871,115.15,1897,112.38,1879,113.75,2186,110.53,0,0,0,0,0,0,0,0,0,1,1,0,0,0
